Num,Ambiente,00:26:5a:66:55:ef,00:27:19:ca:71:d2,06:1e:a2:0a:db:03,06:ad:54:f8:9d:b8,18:0d:2c:7f:eb:ac,18:0d:2c:7f:f5:9c,18:d6:c7:f9:37:2f,24:2f:d0:cc:ed:8c,24:36:da:2b:5e:c0,24:36:da:2b:5e:c2,24:36:da:2b:bc:00,24:36:da:2b:bc:02,24:36:da:a2:7f:40,24:36:da:a2:7f:42,24:fd:0d:57:19:26,2c:57:41:cd:e1:c0,2c:57:41:cd:e1:c2,2c:57:41:d4:a5:20,2c:57:41:d4:a5:22,48:51:cf:81:b0:9e,50:c7:bf:ef:56:8a,54:e6:fc:ba:ad:86,54:e6:fc:cf:22:de,58:10:8c:91:f3:aa,60:32:b1:2d:66:c3,64:70:02:99:fe:f4,6e:ac:d9:fb:2c:71,7c:f1:7e:8d:13:22,84:f1:47:54:6b:80,84:f1:47:54:6b:82,84:f1:47:54:71:00,84:f1:47:54:71:02,84:f1:47:54:7f:20,84:f1:47:54:7f:22,84:f1:47:54:7f:60,84:f1:47:54:7f:62,84:f1:47:54:80:60,84:f1:47:54:80:62,84:f1:47:54:81:00,84:f1:47:54:81:02,84:f1:47:54:8b:a0,84:f1:47:54:8b:a2,84:f1:47:54:95:e0,84:f1:47:54:95:e2,84:f1:47:54:96:e0,84:f1:47:54:96:e2,84:f1:47:54:eb:20,84:f1:47:54:eb:22,84:f1:47:54:f9:80,84:f1:47:54:f9:82,84:f1:47:54:fd:60,84:f1:47:54:fd:62,84:f1:47:54:fd:c0,84:f1:47:54:fd:c2,ae:f6:95:5d:17:2e,b8:11:4b:1d:12:00,b8:11:4b:1d:12:02,b8:11:4b:1d:14:80,b8:11:4b:1d:14:82,b8:11:4b:1d:1e:40,b8:11:4b:1d:1e:42,c4:12:f5:d3:01:90,cc:32:e5:0c:fc:2b,d8:0d:17:3e:c3:cb,d8:36:5f:54:70:40,d8:5d:4c:86:7e:66,e4:4e:2d:85:4c:60,e4:4e:2d:85:4c:62,e8:94:f6:b9:2f:46,Total geral
1,LabMedTelecomunicacao,-85,,,,-67,,-74,,,,-79,-79,,,,,,,,-93,-90,,-89,-56,-90,,,-51,-86,-85,,,,,,,,,,,-88,-89,,,-70,-70,,,,-86,,,,,,,,,,,,,-92,,,-86,-73,-73,,-1751
2,LabMedTelecomunicacao,-88,,,,-71,,-81,,,,-80,-80,,,,,,,,,-93,,-92,-58,-87,,,-57,,,,,,,,,,,,,-91,-91,,,-71,-71,,,,-89,,,,,,,,,,,,,,,,-85,-74,-74,,-1433
3,LabMedTelecomunicacao,-87,,,,-75,,-74,,,,-77,-77,,,,,,,,,,,-89,-56,-90,,,-59,,,,,,,,,,,,,-91,-90,,,-72,-72,,,,,,,,,,,,,,,,,,,,-87,-75,-75,,-1246
4,LabMedTelecomunicacao,-88,,,,-73,-65,-74,,,,-77,-77,,,-85,,,,,,,,-96,-58,-86,,,-57,,,,,,,,,,,,,,,,,-77,-77,,,,,,,,,,,,,,,,,,,,-87,-80,-80,,-1237
5,LabMedTelecomunicacao,-87,,,,-78,-63,-77,,,,-79,-78,,,-84,,,,,,-94,,-91,-58,-91,,,-51,-90,-89,,,,,,,,,,,,,,,-76,-76,,,,,,,,,,,,,,,,,,,,-91,-76,-76,,-1505
6,LabAfericaoCalibracao,-88,,,,-66,,-80,,,,-75,-75,,,,,,,,-89,-95,,,-56,-92,,,-49,-79,-79,,,,,,,,,,,-88,-87,,,-56,-57,,,-88,-89,,,,,,,,,,,,,,-88,,-91,-80,-80,-95,-1822
7,LabAfericaoCalibracao,-84,,,,-64,,-74,,,,-73,-73,,,,,,,,-90,,,,-61,-94,,,-53,-77,-77,,,,,,,,,,,-85,-87,,,-58,-58,,,-86,-87,,,,,,,,,,,,,-96,-82,,,-82,-83,-95,-1719
8,LabAfericaoCalibracao,-85,,,,-66,,-73,,,,-71,-70,,,,,,,,-85,-87,,,-59,-91,,,-55,-79,-79,,,,,,,,,,,-86,-85,,,-57,-57,,,-84,-85,,,,,,,,,,,,,,-83,,-93,-80,-80,-92,-1782
9,LabAfericaoCalibracao,-86,,,,-68,-65,-74,,,,-71,-72,,,-81,,,,,-87,-89,,,-59,-91,,,-57,-80,-80,,,,,,,,,,,-86,-87,,,-58,-59,,,-87,-87,,,,,,,,,,,,,,-85,,-95,-83,-82,-94,-1963
10,LabAfericaoCalibracao,-89,,,,-74,-69,-82,,,,-79,-78,,,,,,,,-92,-92,,,-60,,,,-54,-90,-90,,,,,,,,,,,,,,,-59,-59,,,,,,,,,,,,,,,,,,-89,,-93,-82,-83,,-1414
