Num,Ambiente,00:26:5a:66:55:ef,00:27:19:ca:71:d2,18:0d:2c:7f:eb:ac,18:0d:2c:7f:f5:9c,18:d6:c7:f9:37:2f,1c:3b:f3:3c:b3:1a,24:36:da:2b:5e:c0,24:36:da:2b:5e:c2,24:36:da:2b:bc:00,24:36:da:2b:bc:02,24:fd:0d:57:19:26,2c:57:41:d4:69:c2,44:d2:44:dd:32:40,48:51:cf:81:b0:9e,4c:e1:75:db:58:80,4c:e1:75:db:58:82,50:c7:bf:ef:56:8a,54:e6:fc:cf:22:de,58:10:8c:91:f3:aa,60:32:b1:2d:66:c3,64:70:02:99:fe:f4,7c:f1:7e:8d:13:22,84:f1:47:54:6b:80,84:f1:47:54:6b:82,84:f1:47:54:71:00,84:f1:47:54:71:02,84:f1:47:54:7f:20,84:f1:47:54:7f:22,84:f1:47:54:8b:a0,84:f1:47:54:8b:a2,84:f1:47:54:95:e0,84:f1:47:54:95:e2,84:f1:47:54:96:e0,84:f1:47:54:96:e2,84:f1:47:54:eb:20,84:f1:47:54:eb:22,84:f1:47:54:f9:80,84:f1:47:54:f9:82,84:f1:47:54:fd:c0,84:f1:47:54:fd:c2,86:5d:e9:c5:47:8c,b8:11:4b:1d:14:80,b8:11:4b:1d:14:82,b8:11:4b:1d:1e:40,b8:11:4b:1d:1e:42,cc:32:e5:0c:fc:2b,d8:0d:17:3e:c3:cb,d8:5d:4c:86:7e:66,da:38:d4:2e:cb:c6,e2:e7:86:8e:b8:de,e4:4e:2d:85:4c:60,e4:4e:2d:85:4c:62,e8:94:f6:b9:2f:46,Total geral
1,Informática09,-84,,-77,-72,-79,,,,,,-63,-86,,-88,,,,-91,-66,-90,-90,-73,,,,,-57,-57,,,,,,-89,,,,,,,,,,,,-84,-77,-63,,,-85,-85,-89,-1645
2,Informática09,-88,,-76,-77,-80,,,,,,-68,-92,,-86,,,,-91,-61,-88,-91,-77,,,,,-58,-58,,,,,,,,,,,,,,,,-86,,-84,-82,-64,,,-89,-87,-91,-1674
3,Informática09,-85,,-77,-78,-77,,,,,,-70,,,-87,,,,,-63,-89,-91,-76,,,,,-57,-57,,,,,,,,,,,,,,,,-83,,-92,-87,-70,,,-90,-90,-92,-1511
4,Informática09,-87,,-77,-79,-78,,,,,,-68,,,-84,,,,-93,-65,-88,-91,-79,,,,,-58,-58,,,,,,,,,,,,,,,,-83,-84,-96,-86,-70,,,,-88,-92,-1604
5,Informática09,-86,,-79,-75,-79,,,,,,-70,,,-85,,,,-92,-61,-90,-92,-80,,,,,-59,-59,,,,,,,,,,,,,,,,-84,,-92,-84,-69,,,-88,-88,-92,-1604
6,Sala tecnicos,-88,,-80,-74,-77,,,,,,-63,,,-78,,,,-94,-68,-83,-93,-81,,,,,-68,-70,,,,,-82,-83,,,,,-83,-83,-93,,,,,-87,-71,-73,,,-85,-85,-85,-1927
7,Sala tecnicos,-91,,-77,-82,-81,,,,,,-68,,,-94,,,,-95,-69,-84,-90,-83,,,,,-68,-68,,,,,-81,-82,,,,,-84,-84,,,,,,-86,-77,-73,,,,,-84,-1701
8,Sala tecnicos,-83,,-79,-72,-72,,,,,,-59,,,-79,,,,-94,-65,-80,,-78,,,,,-68,-68,,,,,-79,-79,,,,,-85,-85,,,,,,-82,-74,-66,,,,,-88,-1535
9,Sala tecnicos,-84,,-79,-79,-72,,,,,,-58,,,-83,,,,-95,-70,-86,,-75,,,,,-71,-71,,,,,-81,-82,,,,,,,,,,,,-83,-71,-67,,,-88,-90,-89,-1574
10,Sala tecnicos,-85,,-75,-75,-74,,,,,,-58,,,-80,,,,,-71,-89,,-77,,,,,-71,-71,,,,,-82,-82,,,,,-86,-86,,,,,,-83,-73,-67,,,-88,-88,-89,-1650
11,Sala telecomunicações,-85,,-79,-76,-75,,,,,,-69,,,-78,,,,,-79,-79,,-79,,,-89,-90,-73,-76,,,,,-88,-86,,,,,-79,-79,,,,,-88,-88,-66,-68,-91,,,,-88,-1848
12,Sala telecomunicações,-86,,-80,-73,-77,,,,,,-68,,,-82,,,,,-76,-84,,-79,,,-89,-89,-73,-73,,,,,-86,-87,,,,,-82,-82,,,,,,-86,-64,-67,-96,,,,-87,-1766
13,Sala telecomunicações,-84,,-78,-73,-86,,,,,,-68,,,,,,,-95,-64,-83,-93,-72,,,-89,-89,-71,-71,,,,,-85,-86,,,,,-84,-83,,,,,-90,-86,-66,-67,-92,,-89,-90,-85,-2119
